Species	TaxID	Kingdom	Phylum	Class	Order	Family
Ophrys sphegodes subsp. aveyronensis	145930	Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	Orchidaceae
Oryza rufipogon	4529	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae
Pachyrhizus erosus	109171	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae
Paraphymatoceros pearsonii	319835	Viridiplantae	Streptophyta	Anthocerotopsida	Notothyladales	Notothyladaceae
Phaeoceros carolinianus	185665	Viridiplantae	Streptophyta	Anthocerotopsida	Notothyladales	Notothyladaceae
Phaeomegaceros chiloensis	249525	Viridiplantae	Streptophyta	Anthocerotopsida	Dendrocerotales	Dendrocerotaceae
Phymatoceros phymatodes	405425	Viridiplantae	Streptophyta	Anthocerotopsida	Phymatocerotales	Phymatocerotaceae
Pisum sativum	3888	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae
Populus x sibirica	1954239	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Salicaceae
Prunus avium	42229	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae
Prunus mandshurica	122122	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae
Prunus padus	97307	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae
Prunus sibirica	151440	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae
Pterocarpus santalinus	1071199	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae
Punica granatum	22663	Viridiplantae	Streptophyta	Magnoliopsida	Myrtales	Lythraceae
Salix dunnii	1413687	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Salicaceae
Silybum marianum	92921	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae
Solanum lycopersicum	4081	Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Solanaceae
Solanum lycopersicum var. cerasiforme	195583	Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Solanaceae
Solanum pennellii	28526	Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Solanaceae
Solanum pimpinellifolium	4084	Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Solanaceae
Solanum tuberosum	4113	Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Solanaceae
Sorghum bicolor	4558	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae
Spirodela polyrhiza	29656	Viridiplantae	Streptophyta	Magnoliopsida	Alismatales	Araceae
Taraxacum mongolicum	90037	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae
Telopea speciosissima	54955	Viridiplantae	Streptophyta	Magnoliopsida	Proteales	Proteaceae
Trifolium pratense	57577	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae
Triticum turgidum subsp. durum	4567	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae
Vaccinium vitis-idaea	180772	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae
Vaccinium vitis-idaea var. minus	1149950	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae
Vigna radiata	157791	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae
Vitis vinifera	29760	Viridiplantae	Streptophyta	Magnoliopsida	Vitales	Vitaceae
Zea mays	4577	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae
Juncus effusus	13579	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Juncaceae
